biker_id,tour_id
BG454810,RP06570293 YV8434069 UX9257919 VV5321720 WV1140108 QW79618386
FA521271,SR11023626 QU70912780 YX2322965 QV67438718 QP70478164 QY27775201
HF001773,QX92018889 QW16470668 QP609218 RV21315686 QY02753965
IA365330,RQ8221722 UU9618821 RX06565970 SS02719635 RT31677639 UQ4153585
JG920130,QR41270051 TU0130761 QW76393554 RV28680570 RT29675854 VQ5488222
JH062150,RT98491194 SY50589515 RP73609284 SX49306291 RV8233790 RP07279414
BH6349030,TQ33637044 SU75536012 WY1187416 QQ6205891 TR24104772 RX24762134
CB8125888,WQ4391510 QS52928000 RT73561029 RS74825098 RT82084054 QY60313393
CC3726744,TP14751562 SR4581869 US377121 TP24909366 SS88406764 SU70065282
CC7195072,QS32759137 WQ9337372 RV27346430 TR00394007 QS90707377 VT3346765
CE2737714,QP61411905 RV95404171 QQ00158098 TR19250662 VP1922837 QT86375750
CJ3229720,YU5398943 RU29072432 SW35036412 QT71140446 XV1118590 YV0369551
CJ3887296,SV01196821 ST80624055 QR55629030 QQ96882187 RR79603197 RQ75450462
DF2560129,VY5330828 QT68625690 QV80782785 SR13069097 RV15982486 RV25858033
DF6982085,RT98491194 TR44463632 QQ51525474 RP73609284 QR03717384 RP07279414
EG9116393,QW44782612 QV93723804 ST91186803 SS3290432 RP42699691 UV8700686
EI3141559,SQ87773396 QQ01073006 RS03635604 SU81275802 SV01943023 RQ43656308
EJ1840802,QX01025265 XY1266900 QR11578449 TP72954907 TR80897548 RU927492
FA0590864,TP87098830 RS45395514 QR03717384 RV8233790 RQ49464820 RP07279414
FA4326263,RT71195693 RY20431298 WT5914541 SS20505228 SW90866767
FD2014578,YU5398943 RU29072432 QV00413013 VP2394192 RQ53348068 RW76927174
FE7476091,QY83407490 QY15380946 RQ83498812 RR27701444 TR17931794 QR34490218
FH2449222,QV95480317 QT27376534 RV33697384 QQ33385189
FI3119832,YU2519340 QP76364848 SX49306291 RV8233790 QR69035551 RP07279414
GA9504174,QP76364848 SW76957253 QR7757681 QR69035551 UQ7558243 QY02753965
GB1059554,QR22992905 XY7667289 RX99306830 SX12153136 SS29773282 QT41699239
GE8889363,QR05670273 WQ9337372 SV10629096 QT21349430 RR24313777 SR54991059
GF1367901,YU1253136 SR08240371 XX7883465 QY93452587 RX35968684 SQ4870193
GF4235318,QP81122807 RY86124911 SU01620432 SU57752126 RT90603461 SQ83605169
GH0504249,QV35880727 QW69873692 VR9780337 QT1146193 QY48173913 RT12119621
GI3588589,SY80859647 YW0593998 QU02284248 SS12755383 SS59524298 RS73204206
GI4722612,QT88068589 RV52552299 UU9618821 RR12943097 RR62994085 QT0337530
GI7595500,RW61684874 RS01324542 VR2943286 TR7450245 QR32655838 QQ70318717
GJ3535188,YU2519340 QY02753965 QR03717384 RQ49464820 SS09338938 RP07279414
HB3889887,RP43455253 SX07386691 QW76393554 WT1936389 QV99561506 QP95206162
HD0373215,SQ03100779 SP50850143 RQ49464820 QY02753965 QR69035551 RP07279414
IA2688704,RS5476646 XP4619862 SR06828033 SU20307709 RV70583521 WR0575893
IE4324358,QS33077999 SX31661369 RT30405430 QW38149624 QS0911918 SU77726402
IF1286067,RY12359758 SW70815990 QS82852410 QS40479010 VX8975255 SP00227659
II5331957,RY92630849 RU09477415 YU5002198 QQ62004917 QV49692139 TR15173213
JB7166122,TR09606131 SY71284129 TP89322861 QY65364019 QY82116608 SW85806105
JC5496510,TR32519602 QQ16367368 WY9782433 QU97380017 RT28145712 XR3015621
JD8766697,YU5398943 RU29072432 XV1118590 QV00413013 RW14222740 SY85899647
JH5501999,TQ25420656 TR03627753 VW9700922 RT28145712 VW5888033 XY9234866
JJ5064362,SS31390995 QS34367841 RT76622244 QU63973355 VU6688286 TQ25754193
JJ9268198,SV4572656 RW94260340 WQ1904904 RT15873572 VY1970985 QP64885201
BA13594520,YU5398943 QS70244570 SU54433899 YW217712 QY26015481 SQ83605169
BA22813953,RR86155514 RS54857659 RP35908534 QU75588609
BA34249941,WV9820406 RT60957668 QQ40866581 SP50850143 QY64407998 QV7252762
BA60099431,QX53435067 SW12070556 TP80944038 SS09338938 QR69035551 RP07279414
BA72640827,RV93999668 XV549210 TP61182012 QV28506913 RT61534851 QY91249255
BA73188652,RU29072432 QU6790944 QS29734614 SR32053960 SQ98275968 QP66708183
BC10507520,SR41864350 SQ24721005 YV8466974 QT73914288 RX25386316 QT07744396
BC21391751,UQ0687100 SV03111897 YP8427583 ST06437144 RT89333364 QU41614804
BC51857185,RX01788819 XT306188 QS64587311 RW49567415 UX8843412 SV15755136
BC58740073,QV00413013 RS94399969 QP82833698 RR64041858 RW40270294 QX29625839
BC79721997,WU3115138 QW76797476 QP65213296 SY22480541 SS12315763 TP02702641
BD17057097,YU5398943 QV00413013 RP30801280 TQ36385770 SR76213471 QY26323783
BD17928829,TP71751701 QR62111436 RS6468864 QV60158596 RY37515293 SY78290343
BE27626481,RS39839832 QV11450851 QQ87034903 SU6240482 SU72977792 XX16449
BE28101175,RU29072432 QV00413013 QY03400031 RX72892494 TQ93610911 WS8643299
BE32546106,QP76364848 QR69035551 RV8233790 QT65929077 RW29267396 QY02753965
BE74879368,QP76364848 VW3098017 QY02753965 SS09338938 QR69035551 RP07279414
BE85684679,RW62356638 QV30022509 SV97359735 UQ9767743 SX64843980 SW90866767
BE87498370,RU9138075 QQ49588581 RU05330132 QQ02483880 QR63459475 QR2777568
BF15805774,WU3115138 RT22059390 SU83375355 RS8236954 UX5602638 SX35329221
BF20424871,RP59769837 QP34336461 QQ11438174 RT67740297 SP55102570 VQ5488222
BF24520597,QR05670273 RS68083210 TR03571618 RS0117918 QR32399528 TY512724
BF39795814,YU5398943 QV00413013 SY81414613 RR17633473 SQ45143643 QW47078058
BF44786140,QP03065332 QR83922964 QS42131627 YU4819298 SW51924386 QS30529419
BF55282107,RS11572043 RQ98931282 ST88779034 QR38591141 VR7338344 RX44691787
BF61107146,TQ68716115 SY46614613 RV49026611 VY9308704 WU0506418 SY82566776
BF65310892,TR32519602 QU1502491 QS23913377 QU97380017 SR81130769
BG14557413,QQ46909088 VY3206007 VR0028937 SU90807274 QU00592227 XP5963128
BG41930443,TV687083 RR1202458 SY19284079 TR54456631
BG61089307,YV6971643 TR03627753 VW9700922 XY9234866 QQ0357109 RT28145712
BG83687851,QP76364848 SW76957253 QR03717384 RQ49464820 QR69035551 RP07279414
BG84440449,YQ0169576 QT51401793 RT18142030 RS45395514 TP80944038 RP07279414
BG96780091,RT98491194 RX15362044 RP73609284 UQ6796945 RQ49464820 RP07279414
BH12635579,QP34788894 QV34190558 TQ49184300 SX25145895 SV64010858 QY1271461
BH42267789,RX23343043 RS6468864 QS70289455 RR32765899 RU67184413
BH76705938,SS55058483 WX8806703 TP67173724 RT63233266 WR1486079 SY81207518
BI10026348,QS61307272 WW1676713 VP2394192 QU69838328 RU90934028 XW8192149
BI15513076,QR31053829 QY17405339 WW1048344 SW14846142 RQ44335101 RQ58886392
BI27991074,RV43833505 YP7302600 RQ30616732 VS3659090 SV4721213 QP81122807
BI47581168,XR0270984 QW33693317 SS12315763 SY41340806 ST80624055 TP53873223
BI54575078,SS98368733 QR41270051 SS49548561 SP47285147 RP45413792 RV91215697
BI72064755,QY55290741 RV71536488 RW41182317 QX6216354 ST06006327
BI79127286,YU2519340 SX49306291 VW3098017 RV8233790 QR69035551 RP07279414
BI82928667,UU3125617 RR19144892 RV10561518 QW59571467 RX96431832 SX18612808
BJ64994682,SX58223520 QS90707377 RU29072432 QX6104502 VT5163767 TT8070308
BJ72874413,YU5398943 QV00413013 SY0341495 RW12351162 SR76213471 RV3253434
CA07776821,SQ74177804 RP72654397 ST02377961 RQ70142135 QR13255557 SR36979875
CA27353775,QU47826436 QQ89547370 XU8488892 SX00668884 TY1161389 RU06208118
CA56169186,RT42660214 RT18142030 QR03717384 RP73609284 RQ49464820 RP07279414
CB24468398,RU29072432 YU5398943 XV1118590 SW35036412 SX05108320 QR81108322
CB77461994,YU2519340 QX44176380 RP73609284 QR03717384 RQ49464820 RP07279414
CB85852179,QT88068589 SX63879024 SS27257991 RX06565970 SS74363087 RW19491342
CB87183134,TT0970262 VY3050209 SQ37171860 TP89204268 QQ87086028 QW09594652
CC06472604,TQ46552769 RW70466219 RW61317427 QV74888438 QW81009055 WU4494201
CD13021179,SR11591366 TP477420 SV17812300 QW41634425 SQ23256869 XY2230242
CD17630684,ST69813488 QT30108025 RX89060532 RX03195749 TQ42633382 SW79243813
CD37182196,QV45204489 RQ40131407 RY43640347 RW79241460 RP92874032 SQ98700718
CD61587577,QP64676677 QV09864127 TU299662 RQ64122730 VP1724573 SP37717443
CD84215566,RR21155670 SS82116221 RQ75520870 QP609218 QP77569445 QU78537301
CD86208218,RV1877241 QW53430045 VT6922507 QX155167 RU79915587 RR37225061
CE13089165,RR51273418 QQ46909088 RY78630628 TQ68094163 SX61842266 QS74817425
CE21584601,QP76364848 QY02753965 QR03717384 QR69035551 RQ49464820 RP07279414
CE77144867,TQ05510328 RS6468864 QR69035551 QV60158596 QX55529308 QR62111436
CE80681213,YU2519340 RT98491194 RP73609284 ST25809914
CE93825465,RY3191359 VW9668918 RP10583664 TP83305694 RX56192562 QX37043651
CE99645933,ST80624055 QQ73584072 YX4533875 YR0638337 QT39955445 SU81275802
CF15029406,SY01290120 QW31720858 SY15373411 VY12101 RP45557691 SX41578300
CF56133275,VS3659090 SU4333473 SV12493798 RR97223691 QR63370906
CF73722639,QW16470668 TQ05510328 RU48272502 QR94336672 TW2699259 QY02753965
CF79352265,WW1676713 QS61307272 QT97764698 SP04689246 RS84544175 QX62794029
CG16219713,SP74569974 TR06665392 QW69590720 RQ05083541 QU49564349 QP85747802
CG22502489,SW31945988 QW76393554 YT3072239 TQ52491492 RQ20779072 RV28680570
CG37352610,SQ18576636 YY9770277 XS4360181 SY62985904 SW90866767 SR89683998
CG50571118,QP31615077 QW84460521 WU326416 TR59324970 RR14433187
CG68702555,QX44176380 YU2519340 SQ03100779 SY50589515 RP73609284 RP07279414
CG75088061,RW62356638 QV30022509 TR42816413 SR89683998 SX64843980 SW90866767
CG78956041,SQ18576636 YR1030522 TQ30552113 RV11097725 RR35916835 XS4360181
CG86965763,QS35898508 QQ11902281 YT0261225 RQ03350077 SU46861867 RW01293208
CG89941153,QT49135207 QV01916220 SU65166403 SP83830288 SV37523569 TR83510412
CH23711433,RU29072432 QU32377761 QS90707377 RW74259276 RQ28371414 YU5398943
CH26466130,QV97930615 RU29072432 YU5398943 QU32377761 QS90707377 SV32072502
CH54172608,QU48928340 QP68825763 SY03656386 QQ96882187 QS81165425 SR42166240
CI15174275,YU2519340 RP73609284 QR69035551 SP48578499 RV8233790 RP07279414
CI18909605,SX96502134 QV70109616 SS88135408 QS95640727 QP95856197 RU56636029
CI25444746,YU2519340 QY02753965 RV8233790 RQ49464820 QR03717384 RP07279414
CI57166402,RQ53037761 QV30022509 RT7946149 RW98291665 SQ29691238 SY27372874
CI67397699,QP76364848 SX49306291 SW76957253 RV8233790 QR69035551 RP07279414
CJ30631258,RW40052708 RQ95745382 QQ14350408 SR63097785 RX06565970 TY4693063
CJ45719859,SS69927458 RU98678508 RQ45977549 SS84785057 WY5158097 SQ17416613
CJ58453070,SQ49756569 SS21054057 RP1681061 RW03254873
CJ75408825,TR03627753 SU09100603 QU2418051 VQ186519 YU0466784 RS52676247
CJ93544760,QX77217637 RY74043284 SS6832383 RR44851506 RS54817832 QX34242831
DA24528036,TP60350890 QX60786983 RQ19976630 UX5151978 QT97894009 RP38082048
DA63570853,QR03717384 RT18142030 QQ51525474 SX49306291 QR69035551 RP07279414
DA64141535,RV81949096 QY9015496 TR18422552 TR40012169 RP69779941 UW8495480
DB10482182,RV43833505 YP7302600 RQ30616732 VS3659090 QV92359541 YW217712
DB29779187,XT3844488 RQ83849299 VQ7316572 QU96190412 SQ63090701 TQ82255726
DB56650528,XR1546192 RX56475163 RS03517156 TQ98698180 RS32683796 QQ33385189
DC03593930,TR44463632 RT98491194 QR72961219 QY02753965 SS09338938 RP07279414
DC21545220,QX14593210 SU74237758 RV99966806 TY4609171 RY98423233 SX73074356
DC44428383,SU01931364 QW01227599 QU68656668 RS63285172 RT64117384
DC48992473,RS24380948 UP5206311 RQ03350077 XV9878857 RR9397491 SY66531125
DC70633490,TR44463632 VW3098017 QR72961219 QR69035551 SS09338938 RP07279414
DC81890361,QR03574711 QY39373766 YT512525 SU72612838 SP06554485 TP34045801
DC82478477,YW217712 SV43004825 QV19013260 TR67083677
DD08369328,YU5398943 YY7119679 SY81414613 ST10736122 RV13114347 QQ64494804
DD17432819,SV74045729 RU57676844 VY6974056 SS44451900 ST79915003 RQ46934064
DD29238167,QX82674933 SS23634350 TP1945277 QW59424406 ST29610508 SQ36211868
DD36162241,RP44297478 QU10397833 RW25806125 TR18102720 RW94180407 RQ41807420
DD53825628,RW88558897 SS76874101 XP3416244 WU1257786 QV99561506 SS47318178
DD84998777,ST44400392 SS4681152 RX97294049 QX75566296 WP239777 QP38016517
DD87377708,SQ28414020 RR03480307 QS19886393 QV744769 QU9721752 SW8442814
DD93069828,RS6468864 QS70289455 RR32765899 QQ16957623 QY40265937 RP07279414
DD98074284,QY07768249 TP35948758 QS41096506 QY51496954 TS2884667 SY78187960
DE49620252,YS9563341 RS98301447 RU05798415 XP7006174 RT645215 RV33693246
DE74033611,TR10442719 RR58521927 VT5163767 QY96503357 YY2561323 QT80770482
DE82692814,QP76364848 SQ20715480 UQ6796945 SS09338938 QR69035551 RP07279414
DF08561523,TX0878599 QV28763650 QW31351853 QY42642254 RP13037725 TY6131340
DF49860217,SP59491867 SR18113289 QQ1299360 SS68128234 QQ80929461 SV32129790
DF50832930,YU2519340 QP76364848 SX49306291 RV8233790 QR69035551 RP07279414
DF80128452,RT15873572 ST29508261 QW7094411 RT01458775 QY18177304 RU34753543
DF94171699,QP76364848 QQ51525474 QQ32763322 RV8233790 QR69035551 RP07279414
DG01599789,QP87635781 QY52025239 QT34430305 SU05302995 TP04973596 SR34297562
DG15297413,SX02505698 SQ04408471 UU9618821 SS85455424 RX06565970 RS4197631
DG37069534,YU2519340 RT18142030 TP80944038 RV8233790 QR69035551 RP07279414
DG82151225,QP76364848 RQ49464820 QR03717384 SP48578499 QR69035551 RP07279414
DG97643704,YU5398943 QV00413013 SX41242017 VT2644408 UT7383999 SR76213471
DH31356523,QU2418051 SU09100603 RW90605371 RV68074570 RS52676247 QX45786756
DH64872798,RX28969498 VY9622003 RU69748465 RW66425759 RX06565970
DH98708300,RU4046741 RQ53037761 XS4360181 ST83869180 QR5579007 RW98291665
DI04368962,TQ15436468 QP33209626 RV29437499 RT15873572 YW0316639 SU4604902
DI25327054,RS97682512 SU33630764 SS26446571 QV57604679
DI49582471,QV82999037 QR17136514 RU85726527 RW62181586 SQ62026668 US3528858
